City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Babina,IN,75.76,overcast clouds,25.25,78.4667,Padri baba mandir
4,Korla,CN,80.31,overcast clouds,41.7597,86.1469,Gulisitan Hotel
5,Hudson Bay,CA,77.79,scattered clouds,52.85,-102.3842,Norwood Motel LTD
6,Hithadhoo,MV,80.46,moderate rain,-0.6,73.0833,Scoop Guest House
7,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
14,Alugan,PH,84.83,overcast clouds,12.2188,125.4808,JM Lodge
17,Ribeira Grande,PT,73.51,few clouds,38.5167,-28.7,Quinta da Meia Eira
24,Santa Marta,CO,86.34,broken clouds,11.2408,-74.199,Casa de Isabella
26,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Srandakan,ID,76.23,broken clouds,-7.9386,110.2506,Puri Brata
29,Filadelfia,US,85.98,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
33,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
34,Kieta,PG,83.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
35,Warnes,BO,78.08,clear sky,-17.5,-63.1667,Terramia Resort & Spa
36,Kapaa,US,84.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Rikitea,PF,74.12,scattered clouds,-23.1203,-134.9692,People ThankYou
38,Hamilton,US,84.29,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
39,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
41,Asyut,EG,89.78,clear sky,27.181,31.1837,Florence Hotel Assiut
42,Hede,CN,82.49,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
44,Moa,CU,81.19,broken clouds,20.6569,-74.9403,Carmen
45,Kalmunai,LK,79.05,overcast clouds,7.4167,81.8167,VS Villa
48,Jizan,SA,81.54,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
50,Bethel,US,77.49,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
54,Atuona,PF,77.95,few clouds,-9.8,-139.0333,Villa Enata
56,Vila Velha,BR,74.97,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
57,Langsa,ID,74.89,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
63,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
65,Gerash,IR,87.93,broken clouds,27.6652,54.1371,Sa'adat House
66,San Patricio,US,85.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
71,Victoria,HK,84.22,light rain,22.2855,114.1577,Mini Hotel Central
72,Eureka,US,76.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
73,Ponta Do Sol,PT,77.0,scattered clouds,32.6667,-17.1,Hotel do Campo
75,Broome,US,78.1,clear sky,42.2506,-75.833,Chenango Valley State Park
77,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
79,Caimito,CO,79.72,scattered clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
81,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
85,Candelaria,PH,82.38,broken clouds,13.9311,121.4233,Casa de Provincia
88,Tigzirt,DZ,78.62,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
92,Butaritari,KI,83.34,few clouds,3.0707,172.7902,Isles Sunset Lodge
95,Green River,US,83.19,few clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
97,Hammonton,US,86.52,scattered clouds,39.6365,-74.8024,"Red Carpet Inn & Suites Hammonton, NJ"
98,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
107,Dispur,IN,80.55,overcast clouds,26.1425,91.7889,Novotel Guwahati GS Road Hotel
110,Auriflama,BR,72.0,overcast clouds,-20.6856,-50.5547,Capoia´s Hotel
114,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
119,Hilo,US,83.93,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
121,Huilong,CN,85.03,few clouds,31.8111,121.655,Hilton Garden Inn Qidong
126,Soyo,AO,72.97,few clouds,-6.1349,12.3689,Hotel Mpampa
127,Fortuna,US,80.19,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
128,Tecolutla,MX,89.46,broken clouds,20.4833,-97.0167,Hotel Plaza Marsol
130,Bengkulu,ID,74.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
134,Salalah,OM,77.09,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
136,Claremore,US,83.37,overcast clouds,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
137,Kavieng,PG,83.28,light rain,-2.5744,150.7967,Nusa Island Retreat
139,Jiwani,PK,81.1,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
142,Kula,TR,74.61,clear sky,38.5473,28.6498,Anemon Kula Hotel
144,Obihiro,JP,80.01,broken clouds,42.9172,143.2044,Tokachi Gardens Hotel
146,Panaba,MX,85.98,broken clouds,21.2833,-88.2667,Posada rosario
149,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
151,Mishan,CN,81.97,overcast clouds,45.55,131.8833,Mishan Hotel
153,Nurota,UZ,78.89,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
157,Paracuru,BR,80.62,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
158,Kahului,US,84.22,light rain,20.8947,-156.47,Maui Seaside Hotel
161,Katobu,ID,78.8,overcast clouds,-4.9408,122.5276,La Ode Husein
165,Banganapalle,IN,78.64,overcast clouds,15.3167,78.2333,Careerfinder4you
166,Bom Jesus,BR,72.32,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
167,Dingle,PH,80.31,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
168,Shingu,JP,83.39,light rain,33.7333,135.9833,Shingu UI Hotel
172,Hasaki,JP,82.8,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
174,Fuyang,CN,81.55,light rain,32.9,115.8167,Fuyang Wanda Realm Hotel
175,Auki,SB,81.66,few clouds,-8.7676,160.7034,Auki Motel
180,Qui Nhon,VN,84.29,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
185,Mayumba,GA,72.86,scattered clouds,-3.432,10.6554,LIKWALE LODGE
186,Jalu,LY,88.68,clear sky,29.0331,21.5482,صاحبة الفخامة
189,Morehead,US,83.3,clear sky,37.2711,-87.1764,CCI Express Inn
190,Lujiang,CN,82.96,broken clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
191,Bayonet Point,US,81.41,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
196,Novo Aripuana,BR,81.14,clear sky,-5.1206,-60.3797,Hotel Ezequiel
197,Mae Hong Son,TH,74.16,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
199,Aklavik,CA,70.52,scattered clouds,68.2191,-135.0107,Aklavik Inn
200,Shenzhen,CN,84.11,moderate rain,22.5455,114.0683,Shenzhen Shanghai Hotel
201,Itarema,BR,79.14,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
202,Zhanaozen,KZ,88.03,broken clouds,43.3,52.8,K.korabay 28A
204,Wewak,PG,79.5,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
208,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
