City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pangnirtung,CA,66.1451,-65.7125,41.2,94,100,8.52,light rain
1,Mataura,NZ,-46.1927,168.8643,45.48,75,29,1.25,scattered clouds
2,Rocha,UY,-34.4833,-54.3333,59.04,86,100,9.28,overcast clouds
3,Babina,IN,25.25,78.4667,75.76,97,100,4.47,overcast clouds
4,Korla,CN,41.7597,86.1469,80.31,26,97,10.25,overcast clouds
5,Hudson Bay,CA,52.85,-102.3842,77.79,40,28,2.91,scattered clouds
6,Hithadhoo,MV,-0.6,73.0833,80.46,76,99,5.73,moderate rain
7,Jamestown,US,42.097,-79.2353,76.59,60,1,1.99,clear sky
8,Saryozek,KZ,44.3583,77.9753,64.99,38,1,1.1,clear sky
9,New Norfolk,AU,-42.7826,147.0587,56.7,61,96,5.99,overcast clouds
10,Mahanje,TZ,-9.9333,35.3333,58.32,81,61,2.01,broken clouds
11,Saint-Philippe,RE,-21.3585,55.7679,67.55,74,50,11.48,scattered clouds
12,Kununurra,AU,-15.7667,128.7333,67.98,24,18,5.75,few clouds
13,Albany,US,42.6001,-73.9662,77.65,72,62,3.29,broken clouds
14,Alugan,PH,12.2188,125.4808,84.83,68,93,5.5,overcast clouds
15,Carnarvon,AU,-24.8667,113.6333,50.07,34,0,11.5,clear sky
16,Cape Town,ZA,-33.9258,18.4232,55.11,87,20,4.61,fog
17,Ribeira Grande,PT,38.5167,-28.7,73.51,90,14,13.56,few clouds
18,Geraldton,AU,-28.7667,114.6,46.81,76,0,17.27,clear sky
19,Hobart,AU,-42.8794,147.3294,57.06,56,40,4.0,scattered clouds
20,Kruisfontein,ZA,-34.0033,24.7314,56.88,95,100,2.24,light rain
21,Inverell,AU,-29.7833,151.1167,50.67,77,0,1.99,clear sky
22,Thompson,CA,55.7435,-97.8558,66.36,42,75,6.91,smoke
23,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,96,40,16.11,scattered clouds
24,Santa Marta,CO,11.2408,-74.199,86.34,86,76,15.3,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,75,17.27,light rain
26,Puerto Ayora,EC,-0.7393,-90.3518,71.55,87,70,7.0,broken clouds
27,Srandakan,ID,-7.9386,110.2506,76.23,84,74,3.49,broken clouds
28,Khatanga,RU,71.9667,102.5,63.09,43,74,11.05,broken clouds
29,Filadelfia,US,39.9523,-75.1638,85.98,46,20,5.75,few clouds
30,Nanortalik,GL,60.1432,-45.2371,46.85,94,100,2.68,overcast clouds
31,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,4.61,clear sky
32,Qaanaaq,GL,77.484,-69.3632,47.1,60,39,2.39,scattered clouds
33,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,light rain
34,Kieta,PG,-6.2167,155.6333,83.21,75,97,8.25,light rain
35,Warnes,BO,-17.5,-63.1667,78.08,43,0,3.44,clear sky
36,Kapaa,US,22.0752,-159.319,84.52,73,75,1.99,broken clouds
37,Rikitea,PF,-23.1203,-134.9692,74.12,74,30,16.13,scattered clouds
38,Hamilton,US,39.1834,-84.5333,84.29,54,20,1.01,few clouds
39,Vaini,TO,-21.2,-175.2,77.16,73,20,11.5,few clouds
40,Busselton,AU,-33.65,115.3333,51.12,81,0,6.98,clear sky
41,Asyut,EG,27.181,31.1837,89.78,14,0,7.43,clear sky
42,Hede,CN,33.7681,120.2517,82.49,83,68,4.21,broken clouds
43,Ushuaia,AR,-54.8,-68.3,40.66,65,20,18.41,few clouds
44,Moa,CU,20.6569,-74.9403,81.19,83,56,9.46,broken clouds
45,Kalmunai,LK,7.4167,81.8167,79.05,75,100,3.76,overcast clouds
46,Gallup,US,35.5281,-108.7426,92.16,16,1,1.01,clear sky
47,Severo-Kurilsk,RU,50.6789,156.125,54.5,66,12,19.24,few clouds
48,Jizan,SA,17.3333,42.6667,81.54,55,53,3.42,broken clouds
49,Hermanus,ZA,-34.4187,19.2345,55.8,90,2,8.95,clear sky
50,Bethel,US,41.3712,-73.414,77.49,81,66,3.4,broken clouds
51,Qaqortoq,GL,60.7167,-46.0333,50.5,96,100,2.21,light rain
52,Rawson,AR,-43.3002,-65.1023,61.34,37,93,8.79,overcast clouds
53,Yellowknife,CA,62.456,-114.3525,67.28,51,75,6.91,smoke
54,Atuona,PF,-9.8,-139.0333,77.95,74,23,14.52,few clouds
55,Cochabamba,BO,-17.3895,-66.1568,64.15,39,20,9.22,few clouds
56,Vila Velha,BR,-20.3297,-40.2925,74.97,81,40,1.14,scattered clouds
57,Langsa,ID,4.4683,97.9683,74.89,92,96,2.86,overcast clouds
58,Arlit,NE,18.7369,7.3853,90.52,39,28,10.33,scattered clouds
59,Esperance,AU,-33.8667,121.9,46.24,72,0,11.23,clear sky
60,Bredasdorp,ZA,-34.5322,20.0403,55.27,94,64,3.44,broken clouds
61,Thinadhoo,MV,0.5333,72.9333,81.18,72,100,5.5,overcast clouds
62,Vestmannaeyjar,IS,63.4427,-20.2734,55.04,83,25,2.1,scattered clouds
63,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,12.66,broken clouds
64,Chokurdakh,RU,70.6333,147.9167,41.25,77,100,8.95,overcast clouds
65,Gerash,IR,27.6652,54.1371,87.93,33,63,2.73,broken clouds
