City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-08-04 00:14:31,-23.1203,-134.9692,70.11,61,87,16.96
1,Vaini,TO,2021-08-04 00:18:24,-21.2,-175.2,73.56,88,40,14.97
2,Bredasdorp,ZA,2021-08-04 00:18:24,-34.5322,20.0403,54.72,82,36,3.44
3,New Norfolk,AU,2021-08-04 00:18:24,-42.7826,147.0587,52.92,83,72,1.01
4,Faanui,PF,2021-08-04 00:18:25,-16.4833,-151.75,79.2,72,42,9.62
5,Busselton,AU,2021-08-04 00:18:25,-33.65,115.3333,43.09,77,74,3.02
6,Kapaa,US,2021-08-04 00:18:26,22.0752,-159.319,84.18,76,90,4.0
7,Tongliao,CN,2021-08-04 00:18:26,43.6125,122.2653,68.94,94,100,11.97
8,Moron,AR,2021-08-04 00:18:26,-34.6534,-58.6198,55.98,83,12,3.62
9,Vardo,NO,2021-08-04 00:18:27,70.3705,31.1107,46.15,96,100,35.03
10,Saint George,US,2021-08-04 00:15:03,37.1041,-113.5841,106.27,13,1,3.0
11,Tuktoyaktuk,CA,2021-08-04 00:18:27,69.4541,-133.0374,55.4,54,20,6.91
12,Jamestown,US,2021-08-04 00:18:28,42.097,-79.2353,71.19,56,1,0.0
13,Bilibino,RU,2021-08-04 00:18:28,68.0546,166.4372,35.38,97,100,7.2
14,Mataura,NZ,2021-08-04 00:18:28,-46.1927,168.8643,42.48,68,89,4.21
15,Ushuaia,AR,2021-08-04 00:18:29,-54.8,-68.3,42.46,65,40,4.61
16,Lebu,CL,2021-08-04 00:18:29,-37.6167,-73.65,50.54,91,26,9.91
17,Hobart,AU,2021-08-04 00:18:30,-42.8794,147.3294,53.26,77,75,1.99
18,Wanaka,NZ,2021-08-04 00:18:30,-44.7,169.15,39.11,99,100,3.0
19,Hithadhoo,MV,2021-08-04 00:18:30,-0.6,73.0833,81.45,76,100,9.06
20,Port Alfred,ZA,2021-08-04 00:18:31,-33.5906,26.891,66.38,34,0,6.35
21,Avarua,CK,2021-08-04 00:15:16,-21.2078,-159.775,75.25,78,75,6.91
22,Verkhniye Sergi,RU,2021-08-04 00:18:31,56.6469,59.5556,62.04,78,71,3.38
23,Lavrentiya,RU,2021-08-04 00:18:32,65.5833,-171.0,47.53,96,86,6.13
24,Albany,US,2021-08-04 00:15:10,42.6001,-73.9662,69.78,77,100,3.06
25,Nanortalik,GL,2021-08-04 00:18:32,60.1432,-45.2371,44.46,96,100,7.72
26,Provideniya,RU,2021-08-04 00:18:32,64.3833,-173.3,53.71,87,90,8.95
27,Kidal,ML,2021-08-04 00:18:33,18.4411,1.4078,89.19,40,75,12.06
28,Turayf,SA,2021-08-04 00:18:33,31.6725,38.6637,77.25,27,0,9.22
29,Bambous Virieux,MU,2021-08-04 00:18:33,-20.3428,57.7575,70.05,73,20,8.05
30,Dikson,RU,2021-08-04 00:18:34,73.5069,80.5464,46.11,85,100,7.67
31,Yellowknife,CA,2021-08-04 00:15:04,62.456,-114.3525,63.32,35,100,13.18
32,Bonavista,CA,2021-08-04 00:18:34,48.6499,-53.1147,65.12,76,66,16.02
33,Butaritari,KI,2021-08-04 00:18:35,3.0707,172.7902,83.39,71,96,13.33
34,Dali,CN,2021-08-04 00:18:35,25.7,100.1833,65.1,80,0,2.1
35,Kushmurun,KZ,2021-08-04 00:18:36,52.4503,64.6311,70.95,60,83,3.2
36,Atuona,PF,2021-08-04 00:18:36,-9.8,-139.0333,77.65,71,37,15.57
37,Malanje,AO,2021-08-04 00:18:36,-9.5402,16.341,66.04,33,2,3.69
38,Praia,CV,2021-08-04 00:15:12,14.9215,-23.5087,75.74,100,90,10.36
39,Prainha,BR,2021-08-04 00:18:36,-1.8,-53.48,75.83,69,87,3.51
40,Hongjiang,CN,2021-08-04 00:18:37,27.11,109.9956,80.47,80,41,3.2
41,Klyuchi,RU,2021-08-04 00:18:38,52.2667,79.1667,63.28,64,42,2.44
42,Asau,RO,2021-08-04 00:18:38,46.4333,26.4,61.39,94,17,2.39
43,Bengkulu,ID,2021-08-04 00:18:38,-3.8004,102.2655,75.4,91,85,4.43
44,Punta Arenas,CL,2021-08-04 00:16:08,-53.15,-70.9167,42.91,70,0,6.91
45,Roanoke Rapids,US,2021-08-04 00:18:39,36.4615,-77.6542,72.34,91,100,8.16
46,Shasta Lake,US,2021-08-04 00:18:39,40.6804,-122.3708,105.82,8,85,1.01
47,Cayenne,GF,2021-08-04 00:15:16,4.9333,-52.3333,82.09,82,0,1.01
48,Tromso,NO,2021-08-04 00:18:12,69.6496,18.957,47.05,87,75,2.3
49,Ponta Do Sol,PT,2021-08-04 00:18:40,32.6667,-17.1,72.23,78,4,6.85
50,Saint-Philippe,RE,2021-08-04 00:18:40,-21.3585,55.7679,65.79,87,13,11.12
51,Bud,US,2021-08-04 00:18:40,39.447,-86.1758,78.64,59,45,4.23
52,Guerrero Negro,MX,2021-08-04 00:18:41,27.9769,-114.0611,82.08,53,22,14.94
53,Omboue,GA,2021-08-04 00:18:41,-1.5746,9.2618,74.1,90,37,9.08
54,Gravelbourg,CA,2021-08-04 00:18:41,49.8834,-106.5512,75.47,47,100,9.95
55,Klaksvik,FO,2021-08-04 00:18:42,62.2266,-6.589,50.92,91,100,4.38
56,Barrow,US,2021-08-04 00:18:24,71.2906,-156.7887,50.02,68,90,13.8
57,Phek,IN,2021-08-04 00:18:42,25.6667,94.5,60.44,99,59,1.68
58,Portland,US,2021-08-04 00:18:43,45.5234,-122.6762,95.45,41,40,3.0
59,Kodiak,US,2021-08-04 00:18:43,57.79,-152.4072,58.51,77,90,8.05
60,Puerto Ayora,EC,2021-08-04 00:18:43,-0.7393,-90.3518,69.84,80,76,7.38
